abstract	location_label	topic_label
"Salt-induced deterioration of architectural heritage is accelerated drastically in marine environments. This paper investigates the deterioration mechanism of the Shore Temple using various analytical techniques. Deteriorated and pristine stone samples were analyzed using X-ray fluorescence spectroscopy (XRF), thin section studies, and SEM in order to understand the deterioration mechanism. The meteorological and micro-climatic conditions of Shore Temple in the tropical Indian climate were studied, as they have played a vital role in the deterioration of the stone matrix. The sides of the temple that face the sea as well as the upper part of the temple show intense alveolarization and the stone variety was petrologically identified as garnetiferous hornblende biotite granite. The evaluation of results in terms of the efficacy of ethyl silicate consolidation of stone after desalination is very difficult due to continuous sea sprays. The compatible lime rendering evidenced in the shelter area and then scientifically examined during this study may be applied as a protective layer to safeguard and conserve the lone Pallava edifice on the seashore from deterioration in tropical and hygric saline conditions."	NonUS	Conservation
"Coyote (Canis latrans Say, 1823) is a recent immigrant into eastern United States and little is known about the species' space use and movement in the region. We compared space use and movement of radio-collared coyotes among biological seasons. We captured and collared 30 coyotes from February through May 2011 and collected 85 386 GPS locations through October 2012 at Fort Bragg Military Installation. We defined four biological seasons according to coyote life history: breeding (December-February), gestation (March-May), pup-rearing (June-August), and dispersal (September-November). Out of 27 radio-collared individuals, we identified 10 as transient and 11 as resident based on home-range size and variability across seasons; 6 switched their status and were classified as intermediate. We observed low variability of core-area size across seasons for resident males and females, whereas we documented high variability for transient males. Movement rate of resident coyotes during spring (449.75 m/h) was greater than summer (295.33 m/h), whereas movement rates did not differ between any other seasons. For transient coyotes, movement rate during summer (283 m/h) was less than fall (374.73 m/h), spring (479.85 m/h), and winter (488.5 m/h). Some coyotes adjusted their residency status seasonally and other individuals dispersed large distances (>200 km)."	USA	Ecology
"Over the past decade, underwater photogrammetry has been experiencing an increased interest due to the enhancement of camera performance and computing power. This study describes the test of two new methods to perform georeferenced underwater photogrammetry. The first one uses the coupling between photogrammetry by scuba diving and positioning with acoustic data from a multibeam echo sounder; the second one utilises direct positioning technology with a surface floating device (photogrammetric platform). When compared with one another, the platform had a higher mapping efficiency, while being limited by depth and underwater visibility. Georeferenced underwater photogrammetry is expected to have a wide range of applications in the field of marine habitats' conservation such as seagrass meadows and the survey of submerged man-made structures such as artificial reefs and port infrastructure."	NonUS	Technology
"The Marine Strategy Framework Directive is undergoing its second implementation cycle while work is ongoing to promote further harmonization, especially regarding the European Commission standards on datasets, metrics, and thresholds. Even though spatial scales for Biodiversity descriptor criteria concerning fish are set by the Directive at subdivision of region, subregion or region level (depending on the fish species group), the scales of the assessment have never been confirmed across the multiple metrics, taxons and regions. In this work, Descriptor 1 - Biodiversity and Criterion 2 - Population abundance of the species (D1C2) was evaluated and compared for six non-commercial fish species, at five geographical scales in the Portuguese Continental waters, to understand if scales used in the assessment affect species group status and hinder the establishment of adequate monitoring or management measures. For comparability purposes, the methods used were identical to the MSFD; a Breakpoint analysis combined with a Trend analysis of the last five years. Results showed that assessments at Portuguese continental Economic Exclusive Zone level mask local population patterns that were visible when smaller size scales were used, and that each species had different scale requirements. Argentyna sphyraena had low biomass index in the northern region of Aveiro, and species analysed in the Algarve region presented distinct patterns. Downsizing scales revealed that Microchirus variegatus was not in good status - i.e., below threshold - in the southern coastal area, requiring further attention to understand how pressures are impacting populations locally. Although the overall status of the species was maintained, when species assessment was integrated, smaller sized assessment scales are required to understand how populations respond to pressures locally and therefore how monitoring and management of status and pressures should be implemented. Results highlight the need to consider species biology, ecology and population dynamics to define precise scales of assessment and to identify areas of risk at locally relevant scales."	NonUS	Biodiversity
"Background: The globally abundant coccolithophore, Emiliania huxleyi, plays an important ecological role in oceanic carbon biogeochemistry by forming a cellular covering of plate-like CaCO3 crystals (coccoliths) and fixing CO2. It is unknown how the cells arrange different-sized coccoliths to maintain' full coverage, as the cell surface area of the cell changes during daily cycle. Methods: We used Euler's polyhedron formula and CaGe simulation software, validated with the geometries of coccoliths, to analyze and simulate the coccolith topology of the coccosphere and to explore the arrangement mechanisms. Results: There were only small variations in the geometries of coccoliths, even when the cells were cultured under variable light conditions. Because of geometric limits, small coccoliths tended to interlock with fewer and larger coccoliths, and vice versa. Consequently, to sustain a full coverage on the surface of cell, each coccolith was arranged to interlock with four to six others, which in turn led to each coccosphere contains at least six coccoliths. Conclusion: The number of coccoliths per coccosphere must keep pace with changes on the cell surface area as a result of photosynthesis, respiration and cell division. This study is an example of natural selection following Euler's polyhedral formula, in response to the challenge of maintaining a CaCO3 covering on coccolithophore cells as cell size changes."	NonUS	Ecology
"A recent ecological study on the sandy beaches of Qeshm Island (in the Persian Gulf) yielded Ocypode sinensis (Dai, Song & Yang, 1985) specimens. This species is a new record that had not been recorded in the Persian Gulf to date. This finding considerably extends the distribution of O. sinensis westward to sandy coasts of the Persian Gulf, which is the most westerly region in the Arabian Sea. The result of this study will help in determining strategies for further conservation of O. sinensis in Iranian sandy beaches."	NonUS	Ecology
"Does traditional generalist herbarium collecting record grass diversity more effectively than plot-based recording common in ecology? We present a checklist of the Poaceae of Mount Kilimanjaro compiled from two datasets: records from 1646 plots of 0.1ha each made since the 1990s, as well as all the specimens held at K and NHT herbaria. We record a total of 276 species in 90 genera represented by 1510 herbarium collections in both datasets; inclusion of unvouchered observations increases the diversity recorded to 288 species in 94 genera. Seventy four species were recorded only once, either through plots or herbarium collecting. Further unrecorded species are likely to be found. The herbarium and plot datasets proved more different than expected, with only 55% of species recorded by both datasets. The difficulties of grass identification and recognition in the field may have compounded selection biases inherent to both techniques. We urge both general collectors and plant ecologists to broaden their sampling techniques to capture more of the true diversity in ecosystems such as those of Mount Kilimanjaro."	NonUS	Ecology
"Ecosystem engineering species alter the physical structure of their environment and can create or modify habitats, having a massive impact on local biodiversity. Coralligenous reefs are highly diverse habitats endemic to the Mediterranean Sea built by calcareous benthic organisms among which Crustose Coralline Algae are the main engineering species. We analyzed the diversity of Lithophyllum stictiforme or L. cabiochiae in coralligenous habitats combining a multiple barcode and a population genomics approach with seascape features. Population genomics allowed disentangling pure spatial effects from environmental effects. We found that these taxa form a complex of eight highly divergent cryptic species that are easily identifiable using classic barcode markers (psbA, LSU, COI). Three factors have a significant effect on the relative abundances of these cryptic species: the location along the French Mediterranean coast, depth and Photosynthetic Active Radiation (PAR). The analysis of around 5000 SNPs for the most abundant species revealed genetic differentiation among localities in the Bay of Marseille but no differentiation between depths within locality. Thus, the effect of depth and PAR on cryptic species communities is not a consequence of restricted connectivity but rather due to differential settlement or survival among cryptic species. This differential is more likely driven by irradiance levels rather than by pressure or temperature. Both the genetic and species diversity patterns are congruent with the main patterns of currents in the Bay. Ecological differentiation among these engineering cryptic species, sensitive to ocean warming and acidification, could have important consequences on the diversity and structure of the coralligenous communities."	NonUS	Ecology
"It is imperative to understand the carbon (C) and nitrogen (N) pools in tropical mangrove systems considering the diminished C storage potential and increasing nutrient loading in a global context due to rising anthropogenic disturbances. Here, we report that the Mangalavanam Coastal Wetland (MCW), a tropical mangrove stand, is a C-rich environment, with high sediment total organic carbon (70.35 +/- 23.84 mg/g) and the delta C-13 (-26.56 +/- 0.65 parts per thousand) signatures indicate that the major source of carbon in the study area is from mangrove litter. The total nitrogen concentration in the sediment (3.78 +/- 0.18 mg/g) was high despite the low N environment of mangrove ecosystems where the mangrove leaf litter was a major contributor to C. The sediment delta(15) N (7.70 +/- 0.23 parts per thousand) signatures indicated that the influence of anthropogenic N discharges and the contribution of marine algae were the primary cause of N enrichment. The mean delta C-13 and delta N-15 signatures of the mature mangrove leaves of the MCW were -28.66 +/- 1.04 parts per thousand and 5.93 +/- 0.65 parts per thousand, respectively. The mangrove dweller crab Parasesarma plicatum was observed to have enriched delta C-13 (-23.78 +/- 0.33 parts per thousand) and delta N-15 (6.54 +/- 0.35 parts per thousand) signatures, indicative of a mixed dietary source. This study provides the impetus for ongoing conservation efforts to limit the loss of carbon storage and protect against the impact of anthropogenic nitrogen loadings on lowering the carbon and nitrogen emission potential for this system, which can have implications for other tropical mangrove systems as well."	NonUS	Ecology
"Species occur in sympatric assemblages, bound together by ecological relationships and interspecific interactions. Borneo and Sumatra host some of the richest assemblages of biota worldwide. The region, however, faces the highest global deforestation rates, which seriously threaten its unique biodiversity. We used a large camera trap dataset that recorded data for 70 terrestrial species of mammals and birds, to explore the drivers of regional species richness patterns. Using a multi-scale, multivariate modelling framework which quantified the main environmental factors associated with patterns of biodiversity, while simultaneously assessing individual relationships of each species, we determined the ecological drivers of sampled biodiversity, and their contributions to community assemblages. We then mapped predicted species richness, evaluated the effectiveness of protected areas in securing biodiversity hotspots, performed gap analysis to highlight biodiverse areas lacking protection and compared our predictions with species richness maps produced by using IUCN range layers. Finally, we investigated the performance of each species as an indicator of sampled biodiversity. We demonstrate that biodiversity in Borneo and Sumatra is primarily affected by gradients of ecological and anthropogenic factors, and only marginally by topographic and spatial factors. In both islands, species are primarily associated with elevational gradients in vegetation and climate, leading to altitudinal zonation in niche separation as a major factor characterizing the islands' biodiversity. Species richness was highest in north-eastern Borneo and in western Sumatra. We found that most predicted biodiversity hotspots are not formally protected in either island; only 9.2 and 18.2% of the modelled species richness occurred within protected areas in Borneo and Sumatra, respectively. We highlighted that our prediction for Borneo performed better than, and differed drastically from, the IUCN species richness layer, while for Sumatra our modelled species richness layer and the IUCN one were similar, and both showed low predictive power. Our analysis suggests that common and generalist carnivores are the most effective indicators of sampled biodiversity and have high potential as focal, umbrella or indicator species to assist multi-species vertebrate conservation planning. Understanding existing drivers and patterns of biodiversity is critical to support the development of effective community conservation strategies in this rapidly changing region."	NonUS	Biodiversity
